paperID,imageID,size,imagenumbers
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_11_T01.jpg,259980,1
allpaper,10.1109@TVCG.2009.153,,11
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_01_T01.jpg,363006,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_02_T01.jpg,329728,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_03_T01.jpg,294250,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_04_T01.jpg,317550,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_05_T01.jpg,137256,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_06_T01.jpg,627895,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_07_T01.jpg,314064,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_08_T01.jpg,499968,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_09_T01.jpg,318136,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_10_T01.jpg,234000,1
10.1109@TVCG.2009.153,10.1109@TVCG.2009.153_11_11_T01.jpg,440448,1
allpaper,10.1109@TVCG.2009.155,,9
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_01_T01.jpg,349440,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_02_T01.jpg,355320,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_03_T01.jpg,660560,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_04_T01.jpg,383227,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_05_T01.jpg,53508,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_06_T01.jpg,119161,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_07_T01.jpg,229361,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_08_T01.jpg,337280,1
10.1109@TVCG.2009.155,10.1109@TVCG.2009.155_09_09_T01.jpg,1647960,1
allpaper,10.1109@TVCG.2009.179,,10
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_01_T01.jpg,387516,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_02_T01.jpg,784168,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_03_T01.jpg,457824,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_04_T01.jpg,214320,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_05_T01.jpg,454641,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_06_T01.jpg,252255,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_07_T01.jpg,224992,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_08_T01.jpg,992427,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_09_T01.jpg,177660,1
10.1109@TVCG.2009.179,10.1109@TVCG.2009.179_10_10_T01.jpg,271282,1
allpaper,10.1109@TVCG.2009.180,,7
10.1109@TVCG.2009.180,10.1109@TVCG.2009.180_07_01_T01.jpg,294640,1
10.1109@TVCG.2009.180,10.1109@TVCG.2009.180_07_02_T01.jpg,256608,1
10.1109@TVCG.2009.180,10.1109@TVCG.2009.180_07_03_T01.jpg,1763487,1
10.1109@TVCG.2009.180,10.1109@TVCG.2009.180_07_04_T01.jpg,380742,1
10.1109@TVCG.2009.180,10.1109@TVCG.2009.180_07_05_T01.jpg,322989,1
10.1109@TVCG.2009.180,10.1109@TVCG.2009.180_07_06_T01.jpg,257850,1
10.1109@TVCG.2009.180,10.1109@TVCG.2009.180_07_07_T01.jpg,1311400,1
allpaper,10.1109@TVCG.2009.181,,11
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_01_T01.jpg,553382,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_02_T01.jpg,487846,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_03_T01.jpg,128968,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_04_T01.jpg,214720,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_05_T01.jpg,575621,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_06_T01.jpg,269874,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_07_T01.jpg,556871,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_08_T01.jpg,806278,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_09_T01.jpg,1473780,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_10_T01.jpg,284013,1
10.1109@TVCG.2009.181,10.1109@TVCG.2009.181_11_11_T01.jpg,916648,1
allpaper,10.1109@TVCG.2009.183,,11
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_01_T01.jpg,635688,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_02_T01.jpg,659312,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_03_T01.jpg,165760,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_04_T01.jpg,180923,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_05_T01.jpg,396845,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_06_T01.jpg,170628,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_07_T01.jpg,216283,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_08_T01.jpg,276224,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_09_T01.jpg,297104,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_10_T01.jpg,250098,1
10.1109@TVCG.2009.183,10.1109@TVCG.2009.183_11_11_T01.jpg,1201320,1
allpaper,10.1109@TVCG.2009.199,,8
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_01_T01.jpg,263560,1
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_02_T01.jpg,253914,1
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_03_T01.jpg,1714617,1
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_04_T01.jpg,829150,1
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_05_T01.jpg,206010,1
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_06_T01.jpg,399892,1
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_07_T01.jpg,234025,1
10.1109@TVCG.2009.199,10.1109@TVCG.2009.199_08_08_T01.jpg,948040,1
allpaper,10.1109@TVCG.2009.200,,12
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_01_T17.jpg,130544,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_02_T17.jpg,60700,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_03_T17.jpg,126720,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_04_T17.jpg,196472,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_05_T17.jpg,274816,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_06_T17.jpg,184528,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_07_T17.jpg,214092,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_09_T17.jpg,136640,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_10_T17.jpg,210560,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_11_T17.jpg,187650,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_12_T17.jpg,193648,1
10.1109@TVCG.2009.200,10.1109@TVCG.2009.200_12_13_T17.jpg,169400,1
allpaper,10.1109@TVCG.2009.201,,12
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_01_T01.jpg,418011,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_02_T01.jpg,190256,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_03_T01.jpg,163680,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_04_T01.jpg,441408,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_05_T01.jpg,344160,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_06_T01.jpg,307521,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_07_T01.jpg,313768,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_08_T01.jpg,325890,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_09_T01.jpg,308830,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_10_T01.jpg,358022,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_11_T01.jpg,340112,1
10.1109@TVCG.2009.201,10.1109@TVCG.2009.201_12_12_T01.jpg,447750,1
allpaper,10.1109@VAST.2009.5332586,,9
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_01_T01.jpg,906568,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_02_T01.jpg,364820,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_03_T01.jpg,311542,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_04_T01.jpg,229152,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_05_T01.jpg,198912,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_06_T01.jpg,259182,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_07_T01.jpg,300208,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_08_T01.jpg,303338,1
10.1109@VAST.2009.5332586,10.1109@VAST.2009.5332586_09_09_T01.jpg,668508,1
allpaper,10.1109@VAST.2009.5333880,,8
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_01_T01.jpg,209380,1
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_02_T01.jpg,369376,1
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_03_T01.jpg,112980,1
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_04_T01.jpg,164121,1
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_05_T01.jpg,175960,1
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_06_T01.jpg,1955998,1
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_07_T01.jpg,768888,1
10.1109@VAST.2009.5333880,10.1109@VAST.2009.5333880_08_08_T01.jpg,812295,1
allpaper,10.1109@VAST.2009.5333895,,9
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_01_T01.jpg,114933,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_02_T01.jpg,207693,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_03_T01.jpg,233232,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_04_T01.jpg,1344497,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_05_T01.jpg,281710,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_06_T01.jpg,411840,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_07_T01.jpg,254506,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_08_T01.jpg,402640,1
10.1109@VAST.2009.5333895,10.1109@VAST.2009.5333895_09_09_T01.jpg,373488,1
allpaper,10.1109@VAST.2009.5333917,,10
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_01_T01.jpg,1156636,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_02_T01.jpg,745093,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_03_T01.jpg,515430,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_04_T01.jpg,145237,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_05_T01.jpg,422520,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_06_T01.jpg,375500,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_07_T01.jpg,428640,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_08_T01.jpg,382720,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_09_T01.jpg,165416,1
10.1109@VAST.2009.5333917,10.1109@VAST.2009.5333917_10_10_T01.jpg,800605,1
allpaper,10.1109@TVCG.2009.119,,11
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_01_T02.jpg,416841,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_02_T02.jpg,1475549,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_03_T02.jpg,185256,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_04_T02.jpg,219018,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_05_T02.jpg,505520,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_06_T02.jpg,681000,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_07_T02.jpg,681908,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_08_T02.jpg,213696,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_09_T02.jpg,431886,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_10_T02.jpg,187136,1
10.1109@TVCG.2009.119,10.1109@TVCG.2009.119_11_11_T02.jpg,247411,1
allpaper,10.1109@VAST.2009.5332611,,10
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_01_T02.jpg,737856,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_02_T02.jpg,398096,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_03_T02.jpg,364343,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_04_T02.jpg,592020,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_05_T02.jpg,695888,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_06_T02.jpg,392400,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_07_T02.jpg,380160,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_08_T02.jpg,623634,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_09_T02.jpg,322061,1
10.1109@VAST.2009.5332611,10.1109@VAST.2009.5332611_10_10_T02.jpg,472560,1
allpaper,10.1109@VAST.2009.5332628,,11
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_01_T02.jpg,107361,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_02_T02.jpg,232200,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_03_T02.jpg,160728,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_04_T02.jpg,112504,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_05_T02.jpg,166355,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_06_T02.jpg,400400,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_07_T02.jpg,385560,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_08_T02.jpg,164220,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_09_T02.jpg,554967,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_10_T02.jpg,596024,1
10.1109@VAST.2009.5332628,10.1109@VAST.2009.5332628_11_11_T02.jpg,561816,1
allpaper,10.1109@VAST.2009.5333920,,5
10.1109@VAST.2009.5333920,10.1109@VAST.2009.5333920_05_01_T02.jpg,235407,1
10.1109@VAST.2009.5333920,10.1109@VAST.2009.5333920_05_02_T02.jpg,441792,1
10.1109@VAST.2009.5333920,10.1109@VAST.2009.5333920_05_03_T02.jpg,202908,1
10.1109@VAST.2009.5333920,10.1109@VAST.2009.5333920_05_04_T02.jpg,641720,1
10.1109@VAST.2009.5333920,10.1109@VAST.2009.5333920_05_05_T02.jpg,268460,1
allpaper,10.1109@VAST.2009.5332584,,12
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_01_T03.jpg,263465,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_02_T03.jpg,262476,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_03_T03.jpg,227964,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_04_T03.jpg,382800,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_05_T03.jpg,179250,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_06_T03.jpg,137040,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_07_T03.jpg,124431,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_08_T03.jpg,147668,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_09_T03.jpg,195156,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_10_T03.jpg,652288,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_11_T03.jpg,261560,1
10.1109@VAST.2009.5332584,10.1109@VAST.2009.5332584_12_12_T03.jpg,247968,1
allpaper,10.1109@VAST.2009.5332593,,8
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_01_T03.jpg,840640,1
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_02_T03.jpg,531216,1
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_03_T03.jpg,599292,1
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_04_T03.jpg,398464,1
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_05_T03.jpg,933750,1
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_06_T03.jpg,814370,1
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_07_T03.jpg,701045,1
10.1109@VAST.2009.5332593,10.1109@VAST.2009.5332593_08_08_T03.jpg,695060,1
allpaper,10.1109@VAST.2009.5333431,,32
10.1109@VAST.2009.5333431,10.1109@VAST.2009.5333431_32_01_T03.jpg,65632,1
10.1109@VAST.2009.5333431,10.1109@VAST.2009.5333431_32_02_T03.jpg,78792,1
