Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Venues
FOTS: Fast Oriented Text Spotting with a Unified Network, Xuebo Liu; Ding Liang; Shi Yan; Dagui Chen; Yu Qiao; Junjie Yan,"NA; NA; NA; NA; Shenzhen Inst. of Adv. Technol., Shenzhen, China; NA",2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,2018,,,5676,5685,"Incidental scene text spotting is considered one of the most difficult and valuable challenges in the document analysis community. Most existing methods treat text detection and recognition as separate tasks. In this work, we propose a unified end-to-end trainable Fast Oriented Text Spotting (FOTS) network for simultaneous detection and recognition, sharing computation and visual information among the two complementary tasks. Specifically, RoIRotate is introduced to share convolutional features between detection and recognition. Benefiting from convolution sharing strategy, our FOTS has little computation overhead compared to baseline text detection network, and the joint training method makes our method perform better than these two-stage methods. Experiments on ICDAR 2015, ICDAR 2017 MLT, and ICDAR 2013 datasets demonstrate that the proposed method outperforms state-of-the-art methods significantly, which further allows us to develop the first real-time oriented text spotting system which surpasses all previous state-of-the-art results by more than 5% on ICDAR 2015 text spotting task while keeping 22.6 fps.",,,10.1109/CVPR.2018.00595,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578693,,Text recognition;Feature extraction;Convolution;Proposals;Task analysis;Decoding;Computer vision,character recognition;document image processing;text detection,FOTS;fast oriented text spotting;unified network;incidental scene text spotting;document analysis community;unified end-to-end trainable Fast Oriented Text;convolution sharing strategy;baseline text detection network;joint training method;two-stage methods;ICDAR 2017 MLT;ICDAR 2013 datasets;real-time oriented text spotting system;ICDAR 2015 text spotting task,,93,,54,,,,,IEEE,IEEE Conferences,CVPR
Adaptive Pyramid Context Network for Semantic Segmentation,Junjun He; Zhongying Deng; Lei Zhou; Yali Wang; Yu Qiao,,2019 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2019,,,,,,,,Adaptive Pyramid Context Network for Semantic Segmentation,,,,,,,,5,,,,,,,,,CVPR
PA3D: Pose-Action 3D Machine for Video Recognition, An Yan; Yali Wang; Zhifeng Li; Yu Qiao,,2019 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2019,,,,,,,,PA3D Pose-Action 3D Machine for Video Recognition,,,,,,,,3,,,,,,,,,CVPR
MetaCleaner: Learning to Hallucinate Clean Representations for Noisy-Labeled Visual Recognition, Weihe Zhang; Yali Wang; Yu Qiao,,2019 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2019,,,,,,,,MetaCleaner Learning to Hallucinate Clean Representations for Noisy-Labeled Visual Recognition,,,,,,,,1,,,,,,,,,CVPR
Blind Super-Resolution With Iterative Kernel Correction, Jinjin Gu; Hannan Lu; Wangmeng Zuo; Chao Dong,,2019 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2019,,,,,,,,Blind Super-Resolution With Iterative Kernel Correction,,,,,,,,9,,,,,,,,,CVPR
Modulating Image Restoration With Continual Levels via Adaptive Feature Modification Layers, Jingwen He; Chao Dong; Yu Qiao,,2019 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2019,,,,,,,,Modulating Image Restoration With Continual Levels via Adaptive Feature Modification Layers,,,,,,,,3,,,,,,,,,CVPR
Deep Network Interpolation for Continuous Imagery Effect Transition, Xintao Wang; Ke Yu; Chao Dong; Xiaoou Tang; Chen Change Loy,,2019 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2019,,,,,,,,Deep Network Interpolation for Continuous Imagery Effect Transition,,,,,,,,4,,,,,,,,,CVPR
P2SGrad: Refined Gradients for Optimizing Deep Face Models, Xiao Zhang; Rui Zhao; Junjie Yan; Mengya Gao; Yu Qiao; Xiaogang Wang; Hongsheng Li,,2019 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2019,,,,,,,,P2SGrad Refined Gradients for Optimizing Deep Face Models,,,,,,,,2,,,,,,,,,CVPR
Recovering Realistic Texture in Image Super-Resolution by Deep Spatial Feature Transform, Xintao Wang; Ke Yu; Chao Dong; Chen Change Loy,"NA; NA; Chinese Univ. of Hong Kong, Hong Kong, China; NA",2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,2018,,,606,615,"Despite that convolutional neural networks (CNN) have recently demonstrated high-quality reconstruction for single-image super-resolution (SR), recovering natural and realistic texture remains a challenging problem. In this paper, we show that it is possible to recover textures faithful to semantic classes. In particular, we only need to modulate features of a few intermediate layers in a single network conditioned on semantic segmentation probability maps. This is made possible through a novel Spatial Feature Transform (SFT) layer that generates affine transformation parameters for spatial-wise feature modulation. SFT layers can be trained end-to-end together with the SR network using the same loss function. During testing, it accepts an input image of arbitrary size and generates a high-resolution image with just a single forward pass conditioned on the categorical priors. Our final results show that an SR network equipped with SFT can generate more realistic and visually pleasing textures in comparison to state-of-the-art SRGAN [27] and EnhanceNet [38].",,,10.1109/CVPR.2018.00070,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578168,,Semantics;Image segmentation;Image resolution;Modulation;Visualization;Training;Transforms,affine transforms;feature extraction;feedforward neural nets;image recognition;image reconstruction;image resolution;image segmentation;image texture;learning (artificial intelligence);probability,high-resolution image;SR network;deep spatial feature;convolutional neural networks;CNN;high-quality reconstruction;single-image super-resolution;semantic classes;semantic segmentation probability maps;transformation parameters;spatial-wise feature modulation;SFT layers;input image;spatial feature transform layer;affine transformation parameters;SRGAN;EnhanceNet;categorical priors,,99,,52,,,,,IEEE,IEEE Conferences,CVPR
Crafting a Toolchain for Image Restoration by Deep Reinforcement Learning, Ke Yu; Chao Dong; Liang Lin; Chen Change Loy,NA; NA; NA; NA,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,2018,,,2443,2452,"We investigate a novel approach for image restoration by reinforcement learning. Unlike existing studies that mostly train a single large network for a specialized task, we prepare a toolbox consisting of small-scale convolutional networks of different complexities and specialized in different tasks. Our method, RL-Restore, then learns a policy to select appropriate tools from the toolbox to progressively restore the quality of a corrupted image. We formulate a stepwise reward function proportional to how well the image is restored at each step to learn the action policy. We also devise a joint learning scheme to train the agent and tools for better performance in handling uncertainty. In comparison to conventional human-designed networks, RL-Restore is capable of restoring images corrupted with complex and unknown distortions in a more parameter-efficient manner using the dynamically formed toolchain1.",,,10.1109/CVPR.2018.00259,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578357,,Image restoration;Tools;Distortion;Task analysis;Transform coding;Complexity theory,image restoration;learning (artificial intelligence),small-scale convolutional networks;RL-Restore;corrupted image;stepwise reward function;human-designed networks;image restoration;deep reinforcement learning,,35,,45,,,,,IEEE,IEEE Conferences,CVPR
Iterative MAP and ML Estimations for Image Segmentation,Shifeng Chen; Liangliang Cao; Jianzhuang Liu; Xiaoou Tang,"Dept. of IE, The Chinese University of Hong Kong. sfchen5@ie.cuhk.edu.hk; Dept. of ECE, University of Illinois at Urbana-Champaign. cao4@uiuc.edu; Dept. of IE, The Chinese University of Hong Kong. jzliu@ie.cuhk.edu.hk; Dept. of IE, The Chinese University of Hong Kong; Microsoft Research Asia, Beijing, China. xitang@microsoft.com",2007 IEEE Conference on Computer Vision and Pattern Recognition,,2007,,,1,6,"Image segmentation plays an important role in computer vision and image analysis. In this paper, the segmentation problem is formulated as a labeling problem under a probability maximization framework. To estimate the label configuration, an iterative optimization scheme is proposed to alternately carry out the maximum a posteriori (MAP) estimation and the maximum-likelihood (ML) estimation. The MAP estimation problem is modeled with Markov random fields (MRFs). A graph-cut algorithm is used to find the solution to the MAP-MRF estimation. The ML estimation is achieved by finding the means of region features. Our algorithm can automatically segment an image into regions with relevant textures or colors without the need to know the number of regions in advance. In addition, under the same framework, it can be extended to another algorithm that extracts objects of a particular class from a group of images. Extensive experiments have shown the effectiveness of our approach.",,,10.1109/CVPR.2007.383007,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4270032,,Maximum likelihood estimation;Image segmentation;Computer vision;Iterative algorithms;Clustering algorithms;Asia;Image color analysis;Image texture analysis;Labeling;Markov random fields,computer vision;feature extraction;graph theory;image colour analysis;image segmentation;image texture;iterative methods;Markov processes;maximum likelihood estimation;optimisation;probability;random processes,iterative method;image segmentation;computer vision;labeling problem;probability maximization framework;optimization;maximum a posteriori estimation;maximum-likelihood estimation;Markov random field;graph-cut algorithm;image texture;image color analysis;object extraction,,14,,17,,,,,IEEE,IEEE Conferences,CVPR
Mining Motion Atoms and Phrases for Complex Action Recognition, Limin Wang; Yu Qiao; Xiaoou Tang,"Dept. of Inf. Eng., Chinese Univ. of Hong Kong, Hong Kong, China; Shenzhen key Lab. of Comp. Vis. & Pat. Rec., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Dept. of Inf. Eng., Chinese Univ. of Hong Kong, Hong Kong, China",2013 IEEE International Conference on Computer Vision,,2013,,,2680,2687,"This paper proposes motion atom and phrase as a mid-level temporal ``part'' for representing and classifying complex action. Motion atom is defined as an atomic part of action, and captures the motion information of action video in a short temporal scale. Motion phrase is a temporal composite of multiple motion atoms with an AND/OR structure, which further enhances the discriminative ability of motion atoms by incorporating temporal constraints in a longer scale. Specifically, given a set of weakly labeled action videos, we firstly design a discriminative clustering method to automatically discover a set of representative motion atoms. Then, based on these motion atoms, we mine effective motion phrases with high discriminative and representative power. We introduce a bottom-up phrase construction algorithm and a greedy selection method for this mining task. We examine the classification performance of the motion atom and phrase based representation on two complex action datasets: Olympic Sports and UCF50. Experimental results show that our method achieves superior performance over recent published methods on both datasets.",,,10.1109/ICCV.2013.333,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6751444,action recognition;mid-level representation,Motion segmentation;Training;Hidden Markov models;Support vector machines;Image segmentation;Correlation;Equations,data mining;image classification;pattern clustering;video signal processing,UCF50;Olympic sports;complex action dataset;mining task;greedy selection method;bottom-up phrase construction algorithm;effective motion phrase;discriminative clustering method;action video;motion information;complex action classification;midlevel temporal part;complex action recognition;phrases mining;motion atoms mining,,81,,30,,,,,IEEE,IEEE Conferences,ICCV
